"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 15:06:44 GMT 2023","Thu May 04 15:06:45 GMT 2023","1479","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest2","TC04 - Register with username and password and try to login with wrong password","Verify that a user cannot login with wrong password after registration"
"passed","Thu May 04 15:06:25 GMT 2023","Thu May 04 15:06:31 GMT 2023","5460","","PaginationTest","","PaginationTest","CheckFirstPage","TC15 - Checking If First Page Is Displayed","Verify that when user clicks on Portfolio, the first page appears"
"passed","Thu May 04 15:06:42 GMT 2023","Thu May 04 15:06:44 GMT 2023","1359","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","TC03 - Register with username and password and login with registered parameters","Verify that user can login with given parameters after registration"
"failed","Thu May 04 15:06:37 GMT 2023","Thu May 04 15:06:42 GMT 2023","5074","","LoginRegisterTests","","LoginRegisterTests","RegisterTest2","TC02 - Register with invalid e-mail addresses","Verify that a user cannot register with invalid e-mail addresses"
"passed","Thu May 04 15:06:48 GMT 2023","Thu May 04 15:06:50 GMT 2023","1757","","DataEntryTest","","DataEntryTest","ValidMessageTest","TC08 - Send message with parameters","Verify that website sends message, if all required fields are filled out"
"passed","Thu Apr 13 17:05:47 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","4861","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","Try to login with wrong username",""
"passed","Thu May 04 15:07:20 GMT 2023","Thu May 04 15:07:29 GMT 2023","8764","","PaginationTest","","PaginationTest","GetLastPageNumberTest2","TC21 - Get The Maximum Number Of Pages With Pagination","Verify that Pagination function works when user wants to get the maximum number of Pages."
"failed","Thu May 04 15:08:29 GMT 2023","Thu May 04 15:08:48 GMT 2023","19217","","PaginationTest","","PaginationTest","CheckFirstButtonOnFirstPageTest","TC25 - Checking if First Button is enabled on First Page","Verify that user cannot click on First Page Button on First Page"
"passed","Thu Apr 13 16:43:18 GMT 2023","Thu Apr 13 16:43:24 GMT 2023","6744","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","Register with username and password and try to login with wrong password",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","1","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","RegisterAndLoginTest1",""
"passed","Thu May 04 15:06:47 GMT 2023","Thu May 04 15:06:59 GMT 2023","11559","","PaginationTest","","PaginationTest","ClickPreviousTest","TC18 - Checking Previous Button","Verify that when user clicks on Previous Button, the website loads the previous page."
"passed","Thu May 04 15:06:31 GMT 2023","Thu May 04 15:06:34 GMT 2023","2427","","DataOperationsTest","","DataOperationsTest","DataReadTest2","TC13 - Read Members Data On About Page And Compare With List","Verify that Members Data matches the predetermined data"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","4","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","LoginTest1",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","20","","LoginRegisterTests","","LoginRegisterTests","RegisterTest1","RegisterTest1",""
"passed","Thu May 04 15:09:03 GMT 2023","Thu May 04 15:09:14 GMT 2023","11340","","PaginationTest","","PaginationTest","PaginationTest2","TC27 - Getting The Name Of Products While Iterating Over Pages","Verify that names of products matches the predetermined data"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","LoginTest2",""
"passed","Thu May 04 15:06:45 GMT 2023","Thu May 04 15:06:46 GMT 2023","735","","LoginRegisterTests","","LoginRegisterTests","LoginTest","TC05 - Try to login with wrong username","Verify that a user cannot login with wrong username"
"failed","Thu May 04 15:07:49 GMT 2023","Thu May 04 15:08:08 GMT 2023","19150","","PaginationTest","","PaginationTest","CheckLastButtonOnLastPageTest","TC23 - Checking if Last Page Button is enabled on Last Page","Verify that user cannot click on Last Page Button on Last Page"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","RegisterAndLoginTest",""
"passed","Thu May 04 15:09:14 GMT 2023","Thu May 04 15:09:30 GMT 2023","15396","","PaginationTest","","PaginationTest","PaginationTest3","TC28 - Getting The Number Of Blog Entries While Iterating Over Pages","Verify that Number of Blog Entries matches the requirements"
"passed","Thu May 04 15:06:38 GMT 2023","Thu May 04 15:06:47 GMT 2023","9007","","PaginationTest","","PaginationTest","GetLastPageNumberTest","TC17 - Checking Last Page Button","Verify that when user clicks on Last Page Button, the website loads the last page."
